facility_id,year,facility_name,state,city,county,lat,lon,parent_name,ownership_share,co2_ghgrp_metric,attributed_co2_ghgrp_metric,co2_cems_metric,cems_n_oris_codes,gross_load_mwh,heat_input_mmbtu,has_cems,co2_ct_metric,n_ct_assets,mean_match_distance_km,has_ct,n_sources,is_clustered
1000739,2011,Brownsville CT,TN,BROWNSVILLE,Haywood,35.5438,-89.198,US GOVERNMENT,1.0,156839.168,156839.168,156678.16866858,1.0,245031.36,2906139.974,True,,,,False,2,False
1000886,2011,"Brunner Island, LLC",PA,Mt Wolf,York,40.097,-76.6962,TALEN ENERGY CORP,1.0,8510410.184,8510410.184,8441209.045539271,1.0,10216796.17,90689779.102,True,,,,False,2,False
1011850,2011,Brunswick County Power Station,VA,Freeman,BRUNSWICK COUNTY,36.766854,-77.711098,DOMINION ENERGY INC,1.0,,,,,,,False,,,,False,0,False
1000174,2011,"Buchanan Units 1, 2",VA,KEEN MOUNTAIN,Buchanan,37.1753,-81.9617,"LS Power Development, LLC",1.0,17648.084,17648.084,17629.942083615002,1.0,34522.82,327019.026,True,,,,False,2,False
1000831,2011,Buck,NC,SALISBURY,Rowan,35.7133,-80.3767,DUKE ENERGY CORP,1.0,757170.416,757170.416,616956.9886213201,1.0,697113.37,6637129.120999999,True,,,,False,2,False
1000917,2011,Bull Run,TN,CLINTON,Anderson,36.0211,-84.1567,US GOVERNMENT,1.0,2475360.872,2475360.872,2452756.529927835,1.0,2972550.19,26351852.467,True,,,,False,2,False
1001553,2011,Burlington (IA),IA,BURLINGTON,Des Moines,40.7412,-91.1168,ALLIANT ENERGY CORP,1.0,1360906.37,1360906.37,1348883.262294435,1.0,1291828.72,14182665.75,True,,,,False,2,False
1000743,2011,Burlington Generating Station,NJ,BURLINGTON,Burlington,40.0753,-74.8781,ARCLIGHT ENERGY PARTNERS FUND VII LP,1.0,50884.136,50884.136,50595.15713163,1.0,87880.4,907759.134,True,,,,False,2,False
1000419,2011,C. R. Wing Cogeneration Plant,TX,BIG SPRING,Howard,32.2722,-101.4222,BERKSHIRE HATHAWAY INC,0.9114,80639.452,73494.7965528,80556.954800145,1.0,166217.7,1494151.924,True,,,,False,2,False
1005420,2011,COVE POINT LNG FACILITY,MD,Lusby,CALVERT COUNTY,38.38407,-76.41233,DOMINION ENERGY INC,1.0,141714.334,141714.334,,,,,False,,,,False,1,False
1001342,2011,Calcasieu Plant,LA,SULPHUR,Calcasieu,30.1603,-93.3458,ENTERGY CORP,1.0,191949.788,191949.788,191752.85827554,1.0,314371.25,3556710.608,True,,,,False,2,False
1001357,2011,Caledonia,MS,STEENS,Lowndes,33.6464,-88.2717,US GOVERNMENT,1.0,1425401.368,1425401.368,1423928.5438666502,1.0,3814050.81,26411748.757,True,,,,False,2,False
1000812,2011,Calhoun Generating Facility,AL,EASTABOGA,Calhoun,33.5883,-85.9731,THE SOUTHERN CO,1.0,128656.57,128656.57,128356.35554907,1.0,223044.85,2360031.432,True,,,,False,2,False
1000453,2011,"Calpine Gilroy Cogen, LP",CA,GILROY,Santa Clara,37.0001,-121.5367,CPN MANAGEMENT LP,1.0,45966.976,45966.976,19150.476676485,1.0,44327.72,355201.423,True,,,,False,2,True
1007233,2011,Calpine Hidalgo Energy Center,TX,EDINBURG,Hidalgo,26.3389,-98.1708,CPN MANAGEMENT LP,0.785,1026234.348,805593.9631800001,1025182.305288495,1.0,2561686.1500000004,19015637.239,True,,,,False,2,True
1001320,2011,Calpine Sutter Energy Center,CA,YUBA CITY,Sutter,39.0531,-121.6939,CPN MANAGEMENT LP,1.0,375922.756,375922.756,375537.180412155,1.0,1043487.28,6965632.632999999,True,,,,False,2,False
1001226,2011,"Camden Plant Holding, LLC",NJ,CAMDEN,Camden,39.9175,-75.1192,TALEN ENERGY CORP,1.0,93961.052,93961.052,91770.456303855,1.0,188832.26,1702177.548,True,,,,False,2,False
1006660,2011,Canaday,NE,LEXINGTON,Gosper,40.6941,-99.7005,NEBRASKA PUBLIC POWER DISTRICT,1.0,3178.282,3178.282,2936.126932125,1.0,3701.5,50705.45,True,,,,False,2,False
