cems_facility_id,year,co2_cems_metric,gross_load_mwh,heat_input_mmbtu,n_units
7870,2016,103606.15336137,148374.2,1921437.684,3
7870,2017,98252.11169185501,138501.47,1821932.614,3
7870,2018,96354.00398043,137324.72,1787256.361,3
7870,2019,191513.34057028499,276961.09,3552307.5319999997,3
7870,2020,178133.726226525,257553.85,3304024.0020000003,3
7870,2021,257309.901004605,364777.3,4772574.795,3
7870,2022,204584.12283168,296376.33999999997,3794793.2819999997,3
7870,2023,426594.83134300506,630305.53,7912713.154,3
7870,2024,364069.1073753,531929.92,6747096.2530000005,3
7872,2011,30075.547781295,52662.86,557859.768,3
7872,2012,48112.018514295,83843.15,892416.6070000001,3
7872,2013,25721.420840925,44992.270000000004,477090.691,3
7872,2014,22548.657423105,41256.51,418226.924,3
7872,2015,20795.492473500002,35820.46,381463.1,3
7872,2016,59847.175887000005,106813.88,1100721.7,3
7872,2017,57232.03368750001,103067.07,1066841.8,3
7872,2018,233197.891671,427551.45999999996,4355180.2,3
7872,2019,76341.7042755,139872.59,1422807.9,3
7872,2020,99265.452759,176634.75,1834021.1,3
7872,2021,161046.021318,284074.2,2995274.6,3
7872,2022,317658.1759485,557637.27,5928549.8,3
7872,2023,111894.64729950001,188231.97999999998,2087298.4,3
7872,2024,182360.78648550002,314137.87,3400896.5,3
7873,2011,2751682.795287,4657396.25,51039735.4,15
7873,2012,2821101.0450795,4784645.5,52327196.725,15
7873,2013,2924392.607548125,4928072.5,54243045.0,15
7873,2014,2768268.926680875,4598146.25,51347408.075,15
7873,2015,3614353.973668125,6028035.5,67040906.3,15
7873,2016,3182400.602832375,5282684.75,59028774.875,15
7873,2017,2421577.111273875,3968977.0,44916616.725,15
7873,2018,2691898.5979970703,4437232.13,49930662.439,15
7873,2019,2996571.6852864604,5177643.08,55581825.927,15
7873,2020,2899944.69482457,4984806.81,53789560.455,15
7873,2021,3155730.65838537,5399347.91,58533984.711,15
7873,2022,2950144.434508695,5071811.5200000005,54720782.629,15
7873,2023,2362415.17666944,3993950.83,43819115.424,15
7873,2024,1981711.583125395,3339935.98,36757794.705,15
7887,2011,42441.805635765006,85942.98,786901.2069999999,3
7887,2012,68886.05334099001,144916.24,1277684.418,3
7887,2013,42221.757027795,81231.9,782905.8330000001,3
7887,2014,39214.866944115,69639.56,725806.289,3
7887,2015,40403.89345836,72771.98,748878.645,3
