State,Facility Name,Facility ID,Unit ID,unit_id,Associated Stacks,Year,Operating Time Count,Sum of the Operating Time,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),SO2 Rate (lbs/mmBtu),CO2 Mass (short tons),CO2 Rate (short tons/mmBtu),NOx Mass (short tons),NOx Rate (lbs/mmBtu),Heat Input (mmBtu),Primary Fuel Type,Secondary Fuel Type,Unit Type,SO2 Controls,NOx Controls,PM Controls,Hg Controls,Program Code
TN,Johnsonville,3406,JCT19,2278,,2012,720,635.42,44351.7,,0.362,0.0024,37890.309,0.0936,7.028,0.0307,520249.849,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,JCT2,88174,,2012,110,110.0,3710.0,,2.75,0.122,,,11.399,0.4841,47505.2,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,,,,"CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,JCT20,2279,,2012,737,652.2,44335.58,,0.31,0.002,37928.602,0.0916,8.193,0.0347,520908.107,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,,,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,JCT3,88175,,2012,92,92.0,3024.0,,1.885,0.1041,,,9.093,0.4719,38936.5,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,,,,"CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,JCT4,88176,,2012,106,106.0,3483.0,,2.859,0.1269,,,10.986,0.4872,45104.7,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,,,,"CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,JCT5,88177,,2012,105,105.0,3535.0,,2.951,0.1347,,,10.894,0.4923,44348.7,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,,,,"CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,JCT6,88178,,2012,76,76.0,2589.0,,2.429,0.1415,,,8.429,0.4961,33890.6,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,,,,"CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,JCT7,88179,,2012,61,61.0,1958.0,,2.272,0.1915,,,6.415,0.53,24317.0,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,,,,"CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,JCT8,88180,,2012,67,67.0,1961.0,,1.582,0.1619,,,5.892,0.5093,24103.5,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,,,,"CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,JCT9,88181,,2012,56,56.0,1511.0,,1.414,0.1536,,,4.884,0.503,19683.7,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,,,,"CAIRNOX, CAIROS, CAIRSO2"
TN,Kingston,3407,1,2280,"CSKI15, CSKI69, CSN19, CSS19",2012,4430,4422.33,381704.72,,196.796,0.0889,417201.7,0.104,121.932,0.0633,4006693.137,Coal,,Tangentially-fired,Wet Lime FGD,Selective Catalytic Reduction,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
TN,Kingston,3407,2,2281,"CSKI15, CSKI69, CSN19, CSS19",2012,4923,4916.59,429486.22,,229.719,0.0898,471316.766,0.104,138.012,0.064,4525292.522,Coal,,Tangentially-fired,Wet Lime FGD,Selective Catalytic Reduction,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
TN,Kingston,3407,3,2282,"CSKI15, CSKI69, CSN19, CSS19",2012,4530,4522.32,391945.86,,206.769,0.0878,431762.347,0.104,126.718,0.0635,4146556.808,Coal,,Tangentially-fired,Wet Lime FGD,Selective Catalytic Reduction,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
